title,url
[번역]빠르게 배워보는 Node.js를 이용한 서버리스(Serverless) - Jiwon Yeom - Medium,https://medium.com/@jwyeom63/%EB%B9%A0%EB%A5%B4%EA%B2%8C-%EB%B0%B0%EC%9B%8C%EB%B3%B4%EB%8A%94-node-js%EB%A5%BC-%EC%9D%B4%EC%9A%A9%ED%95%9C-%EC%84%9C%EB%B2%84%EB%A6%AC%EC%8A%A4-serverless-503ee61539d4
우린 Git-flow를 사용하고 있어요 - 우아한형제들 기술 블로그,http://woowabros.github.io/experience/2017/10/30/baemin-mobile-git-branch-strategy.html
프로그래밍 언어별 딥러닝 라이브러리 정리 – Team AI Korea – We do Artificial Intelligence,https://aikorea.org/blog/dl-libraries/
AI 개발에 가장 적합한 5가지 프로그래밍 언어 - ITWorld Korea,http://www.itworld.co.kr/news/109189
CNN과 RNN의 차이 : 네이버 블로그,https://m.blog.naver.com/PostView.nhn?blogId=dhjoo98&logNo=221200176721&proxyReferer=https%3A%2F%2Fwww.google.com%2F
[Keras Study] 8장. 생성 모델을위한 딥러닝 - Subinium의 코딩일지,https://subinium.github.io/Keras-8/
"현대엠엔소프트 공식 기업 블로그 :: 인공지능(AI), 자동차와 만나다",https://blog.hyundai-mnsoft.com/1444
2019에도 변하지 않을 UI/UX 트렌드 일곱가지 – 이모션,https://www.emotion.co.kr/2019%EC%97%90%EB%8F%84%EB%B3%80%ED%95%98%EC%A7%80%EC%95%8A%EC%9D%84uiux%ED%8A%B8%EB%A0%8C%EB%93%9C%EC%9D%BC%EA%B3%B1%EA%B0%80%EC%A7%80/
UX 프로세스 배우기,https://brunch.co.kr/@ebprux/198
미리 보는 UI 디자인 툴 전쟁,https://brunch.co.kr/@ultra0034/95
UX 방법론이 중요한 게 아니에요,https://brunch.co.kr/@jidesign/38
모바일 디자인 모범 사례,https://brunch.co.kr/@ebprux/242
"부산토박이가 알려주는 2박3일 부산여행 | 세상의 모든 여행, 위시빈",https://www.wishbeen.co.kr/plan/947c830fb7e358f5
"부산 1박2일 여행코스, 똑같은 여행은 이제 그만! 부산 여행지 추천 BEST 10",https://travelblog.expedia.co.kr/12781
오동통그녀의 소심한 일상탈출 : 네이버 블로그,https://blog.naver.com/suheeryu/221522908919
"
		스위스 혼자 여행 경비 : 지식iN
	",https://kin.naver.com/qna/detail.nhn?d1id=9&dirId=9020305&docId=332099033&qb=7Iqk7JyE7IqkIOyXrO2WiQ==&enc=utf8&section=kin&rank=1&search_sort=0&spq=0&pid=USM2edprvh8ssLKQxMwssssssqs-464242&sid=wOe1Zsrw42hkIg90frgBRw%3D%3D
소래비로에 오래된새댁 : 네이버 블로그,https://dlwndud1974.blog.me/221589190612
"백종원 양파덮밥 만드는 법, 건강을 담은 한 .. : 네이버블로그",https://blog.naver.com/nahlee8/221561632175
간단하게 맛있는 토마토 스파게티 황금레시피 : 네이버 포스트,https://m.post.naver.com/viewer/postView.nhn?volumeNo=20802755&memberNo=40599499&vType=VERTICAL
"풍문으로 들었던 편의점 레시피, 마크정식 실천편! : 네이버 포스트",https://m.post.naver.com/viewer/postView.nhn?volumeNo=13530872&memberNo=15460571&vType=VERTICAL
[JMT 다이어트 레시피] 가성비 만렙 밀프렙  : 네이버 포스트,https://m.post.naver.com/viewer/postView.nhn?volumeNo=20065576&memberNo=15617358&vType=VERTICAL
